Order_ID,Order_Date,Ship_Date,Year,Month,Quarter,Customer_ID,Customer_Name,Segment,Country,State,City,Region,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Delivery_Days,Profit_Margin,Payment_Mode,Ship_Mode
ORD00015,2024-11-18,2024-11-24,2024,November,Q4,CUST7119,Arjun,Home Office,India,Karnataka,Mysuru,South,Furniture,Table,Table,6005.66,5,15,-202.65,6,-3.37,Debit Card,Standard Class
ORD00016,2024-07-21,2024-07-23,2024,July,Q3,CUST4609,Rahul,Consumer,India,Maharashtra,Mumbai,West,Furniture,Sofa,Sofa,6153.94,1,20,59.59,2,0.97,Cash,Second Class
ORD00017,2023-10-13,2023-10-19,2023,October,Q4,CUST8954,Sneha,Home Office,India,Delhi,New Delhi,North,Technology,Laptop,Laptop,837.51,9,5,236.27,6,28.21,UPI,Same Day
ORD00018,2024-11-05,2024-11-09,2024,November,Q4,CUST6805,Ritika,Corporate,India,Maharashtra,Pune,West,Technology,Printer,Printer,9663.19,2,0,2250.93,4,23.29,Debit Card,Standard Class
ORD00019,2023-09-12,2023-09-14,2023,September,Q3,CUST4117,Shweta,Corporate,India,Madhya Pradesh,Indore,Central,Furniture,Bookcase,Bookcase,3185.21,6,0,-50.37,2,-1.58,UPI,Same Day
ORD00020,2024-07-17,2024-07-18,2024,July,Q3,CUST1829,Shweta,Consumer,India,Maharashtra,Pune,West,Technology,Printer,Printer,6905.48,2,15,718.54,1,10.41,Cash,Second Class
ORD00021,2023-03-02,2023-03-04,2023,March,Q1,CUST7210,Rahul,Corporate,India,Maharashtra,Pune,West,Technology,Mouse,Mouse,1395.97,4,15,172.14,2,12.33,Credit Card,Same Day
ORD00022,2023-10-31,2023-11-02,2023,October,Q4,CUST1959,Akash,Home Office,India,Karnataka,Mysuru,South,Office Supplies,Marker,Marker,537.01,3,5,144.06,2,26.83,Net Banking,Standard Class
ORD00023,2024-05-29,2024-06-05,2024,May,Q2,CUST9702,Rohan,Consumer,India,Madhya Pradesh,Bhopal,Central,Furniture,Chair,Chair,2736.04,10,15,497.64,7,18.19,Net Banking,Standard Class
ORD00024,2023-05-03,2023-05-08,2023,May,Q2,CUST5034,Akash,Home Office,India,Maharashtra,Mumbai,West,Office Supplies,Notebook,Notebook,3254.77,4,15,429.71,5,13.2,Cash,Standard Class
ORD00025,2023-09-29,2023-10-03,2023,September,Q3,CUST3145,Anjali,Corporate,India,Bihar,Darbhanga,East,Technology,Printer,Printer,5557.76,6,5,81.69,4,1.47,Credit Card,Standard Class
ORD00026,2023-08-07,2023-08-12,2023,August,Q3,CUST5346,Ankit,Corporate,India,Delhi,New Delhi,North,Office Supplies,Notebook,Notebook,9701.93,2,20,2147.0,5,22.13,Cash,Second Class
ORD00027,2024-09-18,2024-09-25,2024,September,Q3,CUST9667,Rahul,Home Office,India,Karnataka,Mysuru,South,Furniture,Bookcase,Bookcase,9407.09,9,10,2475.85,7,26.32,Net Banking,First Class
ORD00028,2024-07-20,2024-07-22,2024,July,Q3,CUST5463,Anjali,Home Office,India,Madhya Pradesh,Indore,Central,Furniture,Sofa,Sofa,6059.42,2,0,1652.14,2,27.27,UPI,First Class
ORD00029,2023-09-15,2023-09-22,2023,September,Q3,CUST1833,Neha,Home Office,India,Maharashtra,Nagpur,West,Office Supplies,Paper,Paper,1067.23,9,15,19.84,7,1.86,Debit Card,First Class
ORD00030,2024-03-28,2024-04-02,2024,March,Q1,CUST8008,Shweta,Consumer,India,Delhi,New Delhi,North,Technology,Printer,Printer,643.23,5,5,41.08,5,6.39,Cash,Standard Class
ORD00031,2024-07-19,2024-07-21,2024,July,Q3,CUST8042,Ankit,Consumer,India,Madhya Pradesh,Indore,Central,Office Supplies,Notebook,Notebook,4009.04,6,20,180.3,2,4.5,Credit Card,First Class
ORD00032,2024-07-27,2024-08-03,2024,July,Q3,CUST7659,Simran,Home Office,India,Delhi,New Delhi,North,Furniture,Table,Table,8321.63,2,10,622.99,7,7.49,UPI,Second Class
ORD00033,2024-02-26,2024-03-04,2024,February,Q1,CUST5066,Karan,Consumer,India,Maharashtra,Mumbai,West,Technology,Laptop,Laptop,2953.16,3,10,413.28,7,13.99,Cash,Same Day
ORD00034,2023-11-09,2023-11-16,2023,November,Q4,CUST4729,Pooja,Consumer,India,Delhi,New Delhi,North,Furniture,Table,Table,1581.06,8,10,364.86,7,23.08,UPI,Same Day
ORD00035,2024-02-14,2024-02-20,2024,February,Q1,CUST9786,Vikas,Consumer,India,Karnataka,Mysuru,South,Furniture,Sofa,Sofa,930.6,6,20,274.91,6,29.54,Cash,First Class
ORD00036,2024-03-20,2024-03-23,2024,March,Q1,CUST6140,Ritika,Home Office,India,Maharashtra,Nagpur,West,Technology,Laptop,Laptop,7768.0,2,20,151.87,3,1.96,Net Banking,Standard Class
ORD00037,2024-06-16,2024-06-23,2024,June,Q2,CUST9822,Sneha,Corporate,India,Bihar,Patna,East,Technology,Laptop,Laptop,254.12,7,0,59.82,7,23.54,Debit Card,Standard Class
ORD00038,2024-06-03,2024-06-06,2024,June,Q2,CUST7692,Vikas,Corporate,India,Madhya Pradesh,Bhopal,Central,Office Supplies,Paper,Paper,7127.2,2,10,1462.16,3,20.52,Credit Card,Second Class
ORD00039,2024-08-05,2024-08-08,2024,August,Q3,CUST7654,Shweta,Consumer,India,Maharashtra,Pune,West,Office Supplies,Marker,Marker,7758.45,3,20,-186.86,3,-2.41,Credit Card,First Class
ORD00040,2024-03-28,2024-04-03,2024,March,Q1,CUST4502,Deepak,Corporate,India,Maharashtra,Pune,West,Office Supplies,Paper,Paper,3712.96,8,15,-35.07,6,-0.94,UPI,Standard Class
ORD00041,2023-07-23,2023-07-25,2023,July,Q3,CUST1401,Amit,Consumer,India,Karnataka,Mysuru,South,Furniture,Table,Table,8658.41,5,5,1455.95,2,16.82,Debit Card,Standard Class
ORD00042,2024-02-14,2024-02-16,2024,February,Q1,CUST3418,Rahul,Consumer,India,Bihar,Darbhanga,East,Office Supplies,Pen,Pen,3442.8,7,15,-95.55,2,-2.78,Debit Card,Second Class
ORD00043,2023-09-13,2023-09-20,2023,September,Q3,CUST2989,Arjun,Consumer,India,Maharashtra,Nagpur,West,Office Supplies,Marker,Marker,3247.63,1,20,207.24,7,6.38,Debit Card,First Class
ORD00044,2024-04-05,2024-04-08,2024,April,Q2,CUST5051,Karan,Home Office,India,Bihar,Darbhanga,East,Office Supplies,Marker,Marker,7350.14,3,15,1272.64,3,17.31,Debit Card,Second Class
ORD00045,2023-12-10,2023-12-13,2023,December,Q4,CUST9850,Neha,Consumer,India,Karnataka,Mysuru,South,Furniture,Sofa,Sofa,8894.68,4,10,1025.34,3,11.53,UPI,Second Class
ORD00046,2024-02-22,2024-02-25,2024,February,Q1,CUST9891,Arjun,Corporate,India,Bihar,Patna,East,Office Supplies,Pen,Pen,1372.02,2,15,273.9,3,19.96,Cash,Second Class
ORD00047,2024-05-03,2024-05-04,2024,May,Q2,CUST6764,Anjali,Corporate,India,Bihar,Darbhanga,East,Office Supplies,Notebook,Notebook,7655.69,10,15,1121.15,1,14.64,Debit Card,Second Class
ORD00048,2024-02-03,2024-02-06,2024,February,Q1,CUST7625,Rohan,Corporate,India,Bihar,Patna,East,Technology,Mouse,Mouse,7755.48,8,0,952.59,3,12.28,UPI,Standard Class
ORD00049,2023-07-06,2023-07-07,2023,July,Q3,CUST5263,Saurabh,Corporate,India,Bihar,Patna,East,Furniture,Bookcase,Bookcase,5322.78,3,15,530.36,1,9.96,UPI,Same Day
ORD00050,2023-03-25,2023-03-29,2023,March,Q1,CUST1318,Shweta,Consumer,India,Karnataka,Mysuru,South,Technology,Keyboard,Keyboard,449.11,7,10,-5.5,4,-1.22,Credit Card,Second Class
ORD00051,2023-07-24,2023-07-31,2023,July,Q3,CUST1334,Simran,Consumer,India,Madhya Pradesh,Indore,Central,Office Supplies,Notebook,Notebook,508.01,1,5,87.76,7,17.28,UPI,Second Class
ORD00052,2024-01-13,2024-01-15,2024,January,Q1,CUST2877,Rohan,Corporate,India,Bihar,Patna,East,Office Supplies,Pen,Pen,3280.69,8,10,419.93,2,12.8,Cash,Standard Class
ORD00053,2024-12-08,2024-12-15,2024,December,Q4,CUST4979,Priya,Home Office,India,Karnataka,Mysuru,South,Technology,Printer,Printer,9094.15,2,20,338.78,7,3.73,Credit Card,Standard Class
ORD00054,2024-06-02,2024-06-08,2024,June,Q2,CUST6591,Rahul,Corporate,India,Gujarat,Ahmedabad,West,Technology,Mouse,Mouse,4221.75,6,0,905.32,6,21.44,Debit Card,Standard Class
ORD00055,2023-06-30,2023-07-06,2023,June,Q2,CUST9549,Karan,Home Office,India,Bihar,Darbhanga,East,Office Supplies,Marker,Marker,2442.22,3,15,-56.31,6,-2.31,Net Banking,Same Day
ORD00056,2023-03-30,2023-04-02,2023,March,Q1,CUST8386,Pooja,Corporate,India,Bihar,Darbhanga,East,Office Supplies,Paper,Paper,3039.56,6,5,19.54,3,0.64,Net Banking,Same Day
ORD00057,2023-08-06,2023-08-09,2023,August,Q3,CUST5233,Vikas,Corporate,India,Karnataka,Bengaluru,South,Technology,Keyboard,Keyboard,9311.04,3,15,2168.0,3,23.28,Net Banking,First Class
ORD00058,2024-02-21,2024-02-25,2024,February,Q1,CUST4938,Riya,Home Office,India,Gujarat,Ahmedabad,West,Office Supplies,Pen,Pen,6407.36,2,5,1633.95,4,25.5,Debit Card,Same Day
ORD00059,2023-11-10,2023-11-16,2023,November,Q4,CUST7047,Riya,Home Office,India,Delhi,New Delhi,North,Technology,Printer,Printer,8075.99,7,5,123.56,6,1.53,Net Banking,First Class
ORD00060,2023-09-15,2023-09-17,2023,September,Q3,CUST2977,Sneha,Corporate,India,Bihar,Darbhanga,East,Technology,Mouse,Mouse,8947.08,5,10,1241.58,2,13.88,Cash,Second Class
ORD00061,2024-06-21,2024-06-26,2024,June,Q2,CUST5637,Priya,Consumer,India,Maharashtra,Mumbai,West,Office Supplies,Marker,Marker,8112.91,5,20,2138.82,5,26.36,Credit Card,Second Class
ORD00062,2023-10-08,2023-10-09,2023,October,Q4,CUST1894,Shweta,Corporate,India,Karnataka,Bengaluru,South,Technology,Laptop,Laptop,3316.43,9,5,-38.08,1,-1.15,UPI,Same Day
ORD00063,2024-03-27,2024-03-30,2024,March,Q1,CUST4021,Amit,Corporate,India,Delhi,New Delhi,North,Office Supplies,Paper,Paper,2433.76,8,15,242.13,3,9.95,Debit Card,Standard Class
ORD00064,2023-06-05,2023-06-07,2023,June,Q2,CUST5979,Neha,Consumer,India,Delhi,New Delhi,North,Technology,Laptop,Laptop,8216.54,10,0,2064.45,2,25.13,Cash,Same Day
ORD00065,2023-11-01,2023-11-08,2023,November,Q4,CUST8026,Anjali,Home Office,India,Gujarat,Ahmedabad,West,Office Supplies,Marker,Marker,268.13,8,15,34.52,7,12.87,Net Banking,Standard Class
ORD00066,2023-06-10,2023-06-12,2023,June,Q2,CUST3848,Shweta,Consumer,India,Gujarat,Ahmedabad,West,Furniture,Table,Table,4290.63,5,0,119.01,2,2.77,UPI,Standard Class
ORD00067,2023-08-26,2023-08-29,2023,August,Q3,CUST5633,Arjun,Consumer,India,Bihar,Darbhanga,East,Office Supplies,Marker,Marker,1374.68,5,0,93.71,3,6.82,UPI,First Class
ORD00068,2024-10-25,2024-10-27,2024,October,Q4,CUST5353,Ankit,Consumer,India,Madhya Pradesh,Indore,Central,Technology,Laptop,Laptop,9440.52,9,5,595.9,2,6.31,Cash,Second Class
ORD00069,2024-12-17,2024-12-21,2024,December,Q4,CUST5461,Deepak,Home Office,India,Karnataka,Mysuru,South,Technology,Laptop,Laptop,5284.15,8,10,1035.99,4,19.61,Debit Card,Same Day
ORD00070,2023-01-27,2023-01-28,2023,January,Q1,CUST4751,Akash,Home Office,India,Delhi,New Delhi,North,Technology,Keyboard,Keyboard,3763.57,10,10,1091.9,1,29.01,Cash,First Class
ORD00071,2023-10-12,2023-10-14,2023,October,Q4,CUST8142,Riya,Consumer,India,Gujarat,Ahmedabad,West,Furniture,Bookcase,Bookcase,9631.98,9,15,367.21,2,3.81,Debit Card,First Class
ORD00072,2024-02-26,2024-03-03,2024,February,Q1,CUST9118,Anjali,Home Office,India,Bihar,Darbhanga,East,Technology,Laptop,Laptop,5073.04,3,10,280.58,6,5.53,Debit Card,Standard Class
ORD00073,2024-02-18,2024-02-25,2024,February,Q1,CUST9432,Rahul,Home Office,India,Bihar,Patna,East,Technology,Keyboard,Keyboard,2991.44,6,0,-110.95,7,-3.71,Net Banking,Same Day
ORD00074,2024-10-02,2024-10-06,2024,October,Q4,CUST1846,Sneha,Corporate,India,Bihar,Patna,East,Furniture,Sofa,Sofa,6173.73,10,15,777.51,4,12.59,Net Banking,Second Class
ORD00075,2024-10-07,2024-10-12,2024,October,Q4,CUST4921,Rohan,Corporate,India,Karnataka,Mysuru,South,Office Supplies,Marker,Marker,704.49,2,0,33.48,5,4.75,Net Banking,Standard Class
ORD00076,2023-05-01,2023-05-07,2023,May,Q2,CUST3523,Riya,Home Office,India,Gujarat,Surat,West,Furniture,Table,Table,9101.01,2,15,308.04,6,3.38,Credit Card,First Class
ORD00077,2023-05-29,2023-06-02,2023,May,Q2,CUST4123,Simran,Home Office,India,Bihar,Darbhanga,East,Technology,Printer,Printer,1619.97,8,20,196.52,4,12.13,UPI,Standard Class
ORD00078,2023-11-02,2023-11-09,2023,November,Q4,CUST9023,Ankit,Corporate,India,Karnataka,Mysuru,South,Technology,Keyboard,Keyboard,9859.37,1,10,342.31,7,3.47,Net Banking,Same Day
ORD00079,2023-07-13,2023-07-19,2023,July,Q3,CUST4913,Akash,Corporate,India,Karnataka,Mysuru,South,Office Supplies,Marker,Marker,6786.93,8,10,1469.82,6,21.66,UPI,Same Day
ORD00080,2024-11-10,2024-11-17,2024,November,Q4,CUST3493,Riya,Consumer,India,Delhi,New Delhi,North,Office Supplies,Marker,Marker,2528.85,7,15,518.1,7,20.49,UPI,First Class
ORD00081,2024-02-24,2024-03-02,2024,February,Q1,CUST3530,Neha,Corporate,India,Delhi,New Delhi,North,Furniture,Bookcase,Bookcase,3804.27,1,5,651.7,7,17.13,Credit Card,First Class
ORD00082,2024-01-25,2024-01-28,2024,January,Q1,CUST8995,Shweta,Consumer,India,Gujarat,Surat,West,Office Supplies,Notebook,Notebook,6408.59,6,20,881.32,3,13.75,Net Banking,Standard Class
ORD00083,2024-03-20,2024-03-21,2024,March,Q1,CUST2647,Arjun,Consumer,India,Maharashtra,Nagpur,West,Office Supplies,Paper,Paper,1084.84,4,0,262.92,1,24.24,Credit Card,Standard Class
ORD00084,2024-03-17,2024-03-19,2024,March,Q1,CUST5001,Deepak,Corporate,India,Delhi,New Delhi,North,Furniture,Sofa,Sofa,3343.64,6,10,51.1,2,1.53,Net Banking,Second Class
ORD00085,2024-05-24,2024-05-29,2024,May,Q2,CUST3345,Pooja,Corporate,India,Maharashtra,Mumbai,West,Furniture,Bookcase,Bookcase,599.6,10,5,94.02,5,15.68,Credit Card,Same Day
ORD00086,2023-03-17,2023-03-21,2023,March,Q1,CUST6662,Akash,Corporate,India,Karnataka,Bengaluru,South,Technology,Keyboard,Keyboard,6840.13,9,5,-302.29,4,-4.42,Debit Card,First Class
ORD00087,2023-08-31,2023-09-04,2023,August,Q3,CUST6882,Akash,Corporate,India,Bihar,Darbhanga,East,Furniture,Bookcase,Bookcase,5218.51,8,0,152.76,4,2.93,Credit Card,Standard Class
ORD00088,2024-09-12,2024-09-18,2024,September,Q3,CUST9139,Anjali,Consumer,India,Madhya Pradesh,Bhopal,Central,Technology,Laptop,Laptop,6522.69,10,0,71.93,6,1.1,Net Banking,First Class
ORD00089,2024-10-04,2024-10-10,2024,October,Q4,CUST1646,Anjali,Corporate,India,Maharashtra,Nagpur,West,Furniture,Sofa,Sofa,6971.19,3,0,595.04,6,8.54,Cash,First Class
ORD00090,2023-06-29,2023-07-01,2023,June,Q2,CUST3166,Shweta,Corporate,India,Madhya Pradesh,Indore,Central,Furniture,Sofa,Sofa,9379.95,6,15,-17.52,2,-0.19,Net Banking,First Class
ORD00091,2024-04-24,2024-04-25,2024,April,Q2,CUST3307,Pooja,Home Office,India,Maharashtra,Pune,West,Technology,Keyboard,Keyboard,3542.45,6,0,-36.43,1,-1.03,Debit Card,First Class
ORD00092,2024-04-10,2024-04-13,2024,April,Q2,CUST5296,Akash,Corporate,India,Delhi,New Delhi,North,Furniture,Sofa,Sofa,9262.0,9,0,2380.97,3,25.71,Credit Card,Standard Class
ORD00093,2023-12-02,2023-12-07,2023,December,Q4,CUST4627,Neha,Home Office,India,Madhya Pradesh,Indore,Central,Technology,Laptop,Laptop,2727.83,10,20,493.72,5,18.1,Debit Card,First Class
ORD00094,2023-11-08,2023-11-12,2023,November,Q4,CUST2903,Priya,Consumer,India,Madhya Pradesh,Bhopal,Central,Furniture,Table,Table,8208.78,1,0,1184.69,4,14.43,Net Banking,Second Class
ORD00095,2024-02-29,2024-03-06,2024,February,Q1,CUST2623,Riya,Home Office,India,Bihar,Darbhanga,East,Technology,Mouse,Mouse,5390.58,10,5,186.77,6,3.46,Debit Card,First Class
ORD00096,2024-01-07,2024-01-08,2024,January,Q1,CUST7019,Shweta,Home Office,India,Delhi,New Delhi,North,Furniture,Bookcase,Bookcase,1112.41,8,5,293.7,1,26.4,Credit Card,Standard Class
ORD00097,2024-11-09,2024-11-11,2024,November,Q4,CUST1350,Amit,Corporate,India,Bihar,Darbhanga,East,Furniture,Chair,Chair,9024.1,8,0,1548.4,2,17.16,UPI,Second Class
ORD00098,2023-08-27,2023-08-30,2023,August,Q3,CUST3418,Simran,Consumer,India,Gujarat,Ahmedabad,West,Furniture,Table,Table,3522.49,10,5,254.41,3,7.22,Credit Card,Second Class
ORD00099,2023-05-15,2023-05-16,2023,May,Q2,CUST6870,Pooja,Home Office,India,Maharashtra,Nagpur,West,Technology,Printer,Printer,7314.37,2,0,1930.91,1,26.4,Credit Card,Standard Class
ORD00100,2023-04-27,2023-05-03,2023,April,Q2,CUST2042,Riya,Corporate,India,Maharashtra,Pune,West,Furniture,Table,Table,8893.45,7,20,1982.85,6,22.3,Credit Card,Standard Class
ORD00101,2024-04-14,2024-04-20,2024,April,Q2,CUST1511,Amit,Corporate,India,Bihar,Patna,East,Office Supplies,Notebook,Notebook,6491.91,9,10,-133.42,6,-2.06,Debit Card,Same Day
ORD00102,2023-11-26,2023-12-01,2023,November,Q4,CUST3431,Neha,Consumer,India,Madhya Pradesh,Indore,Central,Technology,Mouse,Mouse,1783.96,2,0,471.85,5,26.45,Credit Card,First Class
ORD00103,2024-11-01,2024-11-07,2024,November,Q4,CUST4523,Ritika,Corporate,India,Bihar,Darbhanga,East,Technology,Mouse,Mouse,6143.0,2,0,-287.38,6,-4.68,UPI,Same Day
ORD00104,2024-03-13,2024-03-16,2024,March,Q1,CUST5177,Nisha,Consumer,India,Karnataka,Mysuru,South,Technology,Mouse,Mouse,1194.42,2,10,217.65,3,18.22,Debit Card,Standard Class
ORD00105,2023-05-14,2023-05-19,2023,May,Q2,CUST1983,Akash,Home Office,India,Delhi,New Delhi,North,Furniture,Bookcase,Bookcase,249.6,2,10,1.57,5,0.63,Net Banking,First Class
ORD00106,2023-10-22,2023-10-27,2023,October,Q4,CUST6120,Nisha,Consumer,India,Madhya Pradesh,Indore,Central,Technology,Keyboard,Keyboard,5577.59,7,0,1071.81,5,19.22,Net Banking,Second Class
ORD00107,2024-07-23,2024-07-26,2024,July,Q3,CUST2883,Karan,Home Office,India,Maharashtra,Nagpur,West,Technology,Printer,Printer,6589.22,2,10,187.75,3,2.85,UPI,Same Day
ORD00108,2023-10-07,2023-10-13,2023,October,Q4,CUST6063,Vikas,Corporate,India,Gujarat,Ahmedabad,West,Office Supplies,Paper,Paper,7179.36,1,5,237.19,6,3.3,Cash,Second Class
ORD00109,2024-10-10,2024-10-11,2024,October,Q4,CUST2504,Deepak,Consumer,India,Maharashtra,Nagpur,West,Office Supplies,Marker,Marker,3388.92,2,5,715.98,1,21.13,Debit Card,Same Day
ORD00110,2024-08-04,2024-08-09,2024,August,Q3,CUST2392,Amit,Consumer,India,Bihar,Darbhanga,East,Furniture,Sofa,Sofa,6566.4,5,10,1623.4,5,24.72,UPI,Standard Class
ORD00111,2024-09-13,2024-09-17,2024,September,Q3,CUST7786,Karan,Consumer,India,Madhya Pradesh,Indore,Central,Technology,Mouse,Mouse,6644.61,7,15,989.44,4,14.89,Net Banking,Standard Class
ORD00112,2024-06-23,2024-06-29,2024,June,Q2,CUST6054,Amit,Consumer,India,Karnataka,Mysuru,South,Furniture,Sofa,Sofa,1118.01,10,15,87.99,6,7.87,Debit Card,Standard Class
ORD00113,2023-10-24,2023-10-27,2023,October,Q4,CUST2966,Rahul,Corporate,India,Delhi,New Delhi,North,Technology,Printer,Printer,2798.98,3,10,99.07,3,3.54,Debit Card,Second Class
ORD00114,2024-11-15,2024-11-22,2024,November,Q4,CUST6803,Neha,Corporate,India,Maharashtra,Pune,West,Office Supplies,Pen,Pen,9735.5,9,20,852.68,7,8.76,Cash,Same Day
ORD00115,2024-08-10,2024-08-14,2024,August,Q3,CUST7844,Anjali,Consumer,India,Delhi,New Delhi,North,Furniture,Sofa,Sofa,8942.06,10,15,1528.18,4,17.09,Debit Card,Standard Class
ORD00116,2024-03-23,2024-03-30,2024,March,Q1,CUST2735,Pooja,Corporate,India,Karnataka,Bengaluru,South,Office Supplies,Marker,Marker,7989.15,6,0,1006.02,7,12.59,Net Banking,Same Day
ORD00117,2023-12-08,2023-12-15,2023,December,Q4,CUST3755,Neha,Home Office,India,Gujarat,Ahmedabad,West,Technology,Keyboard,Keyboard,5853.66,6,5,716.38,7,12.24,Cash,Second Class
ORD00118,2023-05-30,2023-06-02,2023,May,Q2,CUST4233,Rohan,Home Office,India,Karnataka,Mysuru,South,Office Supplies,Pen,Pen,2113.38,4,0,428.72,3,20.29,UPI,Standard Class
ORD00119,2024-04-04,2024-04-10,2024,April,Q2,CUST6296,Vikas,Consumer,India,Maharashtra,Nagpur,West,Technology,Mouse,Mouse,2951.57,10,20,-122.46,6,-4.15,Debit Card,Standard Class
ORD00120,2023-02-27,2023-03-02,2023,February,Q1,CUST9313,Neha,Corporate,India,Bihar,Darbhanga,East,Office Supplies,Paper,Paper,6525.63,5,20,78.23,3,1.2,Debit Card,Same Day
ORD00121,2024-09-21,2024-09-26,2024,September,Q3,CUST9308,Saurabh,Corporate,India,Delhi,New Delhi,North,Technology,Keyboard,Keyboard,9416.49,2,0,2673.11,5,28.39,Net Banking,Standard Class
ORD00122,2023-03-05,2023-03-09,2023,March,Q1,CUST2696,Vikas,Home Office,India,Bihar,Patna,East,Technology,Mouse,Mouse,9165.67,9,5,729.18,4,7.96,Cash,Second Class
ORD00123,2024-06-19,2024-06-24,2024,June,Q2,CUST3601,Nisha,Corporate,India,Delhi,New Delhi,North,Office Supplies,Marker,Marker,351.47,8,20,96.62,5,27.49,Credit Card,Same Day
ORD00124,2023-12-04,2023-12-05,2023,December,Q4,CUST7334,Anjali,Corporate,India,Bihar,Darbhanga,East,Office Supplies,Notebook,Notebook,4396.2,6,0,1267.55,1,28.83,Net Banking,Second Class
ORD00125,2024-11-02,2024-11-08,2024,November,Q4,CUST7422,Ankit,Home Office,India,Karnataka,Bengaluru,South,Office Supplies,Pen,Pen,9643.48,6,10,2396.92,6,24.86,Cash,First Class
ORD00126,2023-04-06,2023-04-12,2023,April,Q2,CUST7938,Deepak,Corporate,India,Gujarat,Surat,West,Office Supplies,Paper,Paper,3085.6,3,20,261.61,6,8.48,Cash,First Class
ORD00127,2023-08-20,2023-08-22,2023,August,Q3,CUST3539,Neha,Corporate,India,Karnataka,Bengaluru,South,Furniture,Sofa,Sofa,8541.14,8,5,520.35,2,6.09,Cash,Standard Class
ORD00128,2023-06-07,2023-06-09,2023,June,Q2,CUST3963,Simran,Consumer,India,Madhya Pradesh,Bhopal,Central,Office Supplies,Pen,Pen,1861.03,10,15,269.63,2,14.49,Debit Card,Standard Class
ORD00129,2023-10-19,2023-10-26,2023,October,Q4,CUST8356,Pooja,Home Office,India,Bihar,Darbhanga,East,Office Supplies,Pen,Pen,9374.32,8,20,1814.97,7,19.36,UPI,First Class
ORD00130,2024-01-27,2024-02-01,2024,January,Q1,CUST9642,Ritika,Consumer,India,Bihar,Patna,East,Technology,Mouse,Mouse,5786.6,8,10,-92.52,5,-1.6,UPI,Second Class
